"researcher","date","location","song","placement","time","type","genre","species","style","coloration","jam_leader","jam_elements","notes","notes_time"
"Jah","2011/8/12","San Francisco, CA","Tweezer","Mid-set",674,"Groove Rock/Funk Rock","Type 2","Standard Rock Jam (Type 1)","Pentatonic","Pentatonic","Trey","[""Mike Slapping/ Popping"",""Trey uncompressed fuzz tone""]","Stadard Type I Rock Tweezer but there really isn't much to write about as far as really exploratory jams go at Outside Lands 2011",""
"Jah","2011/8/12","San Francisco, CA","Steam","Mid 2nd Set",503,"Prog Rock","Type 2","Space Funk","Futuristic","Futuristic","Full Band","[""Unspecified Synthesizer"",""Loops"",""Mike's Synth pedal""]","It's hard to say if Live Phish just didn't track this well or what - but for the sake of argument, the begining ~45 seconds of Steam are the most exploratory moments of the evening. Not to hate on the show but compared to the rest of the tour the band was clearly holding back in the hopes of playing a more ""accessible"" set for a festival crowd.","0:00-0:45"
"Jah","2011/8/15","Chicago, IL","Wolfman's Brother","Mid-set",804,"Funk","Type 2","Cow Funk","Bliss","Bliss","Full Band","[""Mike Slapping/ Popping"",""Whale-Call"",""Unspecified Synthesizer""]","From the get go - this jam features pristine Phish funk. Mike's bass sounds like its coming from under water. Trey eventually pulls away and begins his noodling type jam. This lasts until aroud 7 minute mark when Page begins to take the reigns with the organ. This winds the jam down a bit which Mike compliments with some brilliant bass/synth work. This then melts into a much more laid back almost post-rock type jam thanks to page's synth. Enter whale calls at around 8:23 we are now in full bliss jam. This ends up peaking a minute later and a few more times until the end of the jam.","7:00 - end"
"Jah","2011/8/15","Chicago, IL","Reba","Mid-set",735,"Prog Rock","Type 1","Bliss Jam","Modal","Modal","Trey","[""Fishman Jazzy Feel"",""Dynamics (volume..)""]","Beautiful rendition that certainly gives the SBIX one a run for its money. Not quite as graceful but impeccable none the less. Trey's playing around the 10:25 mark until the end is some of the most passionate he's done in a Reba solo since the return.","10:25 - end"
"Jah","2011/8/15","Chicago, IL","Sand","Set 2 Opener",756,"Groove Rock/Funk Rock","Type 2","Hyper Funk","Dirty/Bluesy","Dirty/Bluesy","Trey","[""Brilliant Clavinet"",""Fishman Jazzy Feel"",""Tractor Beams""]","The jam starts with Page which is unsual for a Sand jam which usually starts with Trey's noodling around. The jam drips funk throughout but never quite goes full type II. There are moments around 10 minutes in when Page tries to take it down a notch but Trey just wants to barrel ahead with the groove rock and that's ok because Page then returns to his funky clav playing and the jam continues its funk assault. The outro jam is a millenial tractor beam fest which eventually spurs Light.","10 minute - end"
"Jah","2011/8/15","Chicago, IL","Light","Mid 2nd Set",625,"Psychedelic Rock","Type 2","Deconstruction","Dark, Sinister, Evil","Dark, Sinister, Evil","Trey","[""Loops"",""Mike's envelope filter"",""Trey Rhythmic Chording""]","Type II really comes in hard at 7minutes in. The music becomes completely broken down to its most basic moments at 7:49 with simple ascending and descending riffs from Trey and Mike. Fish is stil playing a disjointed drum beat that sounds distant. Things begin to get more interesting around 8:45 when the band gets more futuristic and begins to build a new template for the jam they just deconstructed completely. Mike's bass filter over his running bassline helps move the jam forward into a spaztic factory like groove. This eventaully bleeds into a bliss type jam aided by Page's organ and then into 'Dirt'","7:49 - end"
"Jah","2011/8/15","Chicago, IL","Waves","Mid 2nd Set",729,"Post Rock","Type 2","Ambient","Bliss","Bliss","Trey","[""Dynamics (volume..)"",""Mike's envelope filter"",""Fishman Jazzy Feel""]","The jam starts with a palm muted note from Trey with Mike riffing over it. Fishman is in free-form with his drumming. This isn't your normal waves jam where you pictures yourself riding on blissful waves, once mike picks up on the riff, Trey begins his bluesy soloing. This continues until around 11:30 when Fishman changes up the drumming patern - which leads to Undermind","7:30 - end"
"Jah","2011/8/15","Chicago, IL","Undermind","Mid 2nd Set",786,"Prog Rock","Type 2","Experimental (Pushing Boundaries)","Swampy ('95 specifically)","Swampy ('95 specifically)","Full Band","[""Brilliant Clavinet"",""Whale-Call"",""Theremin""]","From the begining this jam is already pushing bizaare plinko boundaries with seamless interplay with Trey and Page. Fishman keeps up the rhythm which definitely motivates the jam to keep its hyper funk elements. The real jam starts at 6:50 completely de-constructed. Dark and a droning chord played over and over by Trey. This eventually gets looped and fades out. Once again we see Mike's quick rhythmic pick up laying a foundation for Page and Trey to create the shape of the jam. By 9:43 everything drifts away into an ambient bliss jam that starts with fishman completely dropped out. Whale porn commences but for what its worth one of the more structured whale-call jams of 2011. Mike's riffing adds brilliant texture to Trey's calls. This ends up turning into a movement type jam akin to What's The Use and eventually fades into oblivion.","9:43 - end"
"Jah","2011/8/15","Chicago, IL","Harry Hood","Encore",897,"Prog Rock","Type 2","Dynamic Jam (quiet loud dropouts)","Bliss","Bliss","Trey","[""Unspecified Synthesizer"",""Mike's envelope filter""]","Beautifuly blissful jam - 8:45 this jam flirts with Type II - throughout Trey plays with the dynamics of his sound to shape what ends up being a climatic close to one of the most exploratory nights of the 2011 Summer tour...possibly the era.","8:45 - end"
"Jah","2011/8/16","Chicago, IL","Down With Disease","Set 2 Opener",1287,"Psychedelic Rock","Type 2","Experimental (Pushing Boundaries)","Dark, Sinister, Evil","Dark, Sinister, Evil","Page","[""Mike's envelope filter"",""Loops"",""Whale-Call""]","At 7:20 this jam takes on a nightmarish tone which spaces out everyone's playing a bit. This eventually by the 9 minute mark leads itself into a much lighter more blissful realm. By the 11th minute we're in a millenial machine-type jam with a very cool Page lead via the organ. Gives the jam its soul and cuts through Trey's rhythmic tempo setting playing. By 13:45 the band is now into a completely new melody and sonic sphere. Page's organ work continues to spur the jam into new tempos and melodic ideas. 14:55 we some interesting Storage-like elements that blend into a cosmic funk portion lead by a combination of Trey's palm muted and string scraping. At 16:45 the band is rejuvinated again by Page changing things up. The piano sound lends itself to a full-band wall of sound jam that resonates into the 17th minute until 17:20 when we're back to hyper-swamp funk. The a bliss-ambient-whale porn outro.","13:45 - end"
"Jah","2011/8/17","Chicago, IL","Bathtub Gin","Mid-set",747,"Psychedelic Rock","Type 1","Standard Rock Jam (Type 1)","Major Chords (Ionian)","Major Chords (Ionian)","Trey","[]","Really the only jam of the night that did anything remotely interesting. The playing is pretty standard type 1 but taken as far as it could. a few tension-release parts but for the most part the band plays it pretty close the chest.",""
"Jah","2011/8/17","Chicago, IL","Crosseyed and Painless","Set 2 Opener",690,"Psychedelic Rock","Type 2","Ambient","Bliss","Bliss","Full Band","[""Sirens"",""Whale-Call"",""Tractor Beams""]","Standard Type I rock into very ambient very bliss outro jam. No real direction in the bliss jam- purely ambient. Some interesting synth effect around the end. (11:10) that eventually spouts voice modulation - probably whatever Page turns on to change his voice for 'No Quarter'","11:10:00 - end"
"Jah","2011/9/2","Commerce City, CO","Sand","Set 2 Opener",732,"Groove Rock/Funk Rock","Type 2","Standard Rock Jam (Type 1)","Dirty/Bluesy","Dirty/Bluesy","Trey","[""Loops"",""Mike's envelope filter"",""Brilliant Clavinet""]","This 'Sand' never goes into Type II territory but showcases one of the best Type I 'Stash's of the era. The flow of playing coming out of Trey can at times be consdiered hose in this jam and the amount of peaks that occur in the last three minutes are too many to name. The song was also a statement from the band that the ""S"" gag would continue into the second set and likely be a theme for the rest of the show. A perfect way to start the set.",""
"Jah","2011/9/2","Commerce City, CO","Simple","Mid 2nd Set",628,"Prog Rock","Type 2","Bliss Jam","Bliss","Bliss","Full Band","[""Whale-Call"",""Mike's envelope filter"",""Mike's Bass Bomb""]","Blissful Simple jam similiar to the vein of SBIX night one. Whale call galore 7:30 enters true Type II territory bliss jam. Mike's bass bombs serve as exclamation marks to blissful peaks.","7:30 - end"
"Jah","2011/9/2","Commerce City, CO","Steam","Mid 2nd Set",623,"Psychedelic Rock","Type 1","Shred-Fest","Pentatonic","Pentatonic","Trey","[]","The longest Steam to date has the most progressive playing from Trey and proves a perfect piece of this second set puzzle. Full of peaks and bends - very well played Type I rock.",""
"Jah","2011/9/2","Commerce City, CO","Seven Below","Mid 2nd Set",628,"Prog Rock","Type 2","Plinko","Pentatonic","Pentatonic","Full Band","[""Brilliant Clavinet"",""Mike's envelope filter"",""Trey Feedback""]","Plinko jam 3:18-3:50 - element persist through the 4th minute but the jam has now evolved into more of a funk jaunt. By 4:45 this has blended into a type I space rock jam. Trey's noodling not aimless and helping build the jam. Eventually he even takes a seat back and lets Page lead for a bit around the 5:10 mark. This interplay lasts through the jam. at 8:00 we return to a plinko jam - this one at a much slower pace and with a more futuristic vibe. this eventually devolves into a dark ambient outro jam.","4:45 and 8:00-end"
"Jah","2011/9/3","Commerce City, CO","Wolfman's Brother","Set Closer",728,"Funk","Type 2","Plinko","Pentatonic","Pentatonic","Trey","[""Mike Slapping/ Popping"",""Brilliant Clavinet""]","Funk filled voyage that gets dark and swampy around 5:20 after the introductory hyper-plinko funk jam. This eventually melts back into more plinko which will be a reoccuring theme throughout the jam.",""
"Jah","2011/9/3","Commerce City, CO","Tweezer","Mid 2nd Set",868,"Modern Rock","Type 2","Experimental (Pushing Boundaries)","Futuristic","Futuristic","Trey","[""Loops"",""Unspecified Synthesizer"",""Mike's envelope filter""]","This jam is hard to classify. Possibly the best jam of the year with only maybe two others in the running. This jam immidiately launches you into the blissful nether-worlds of Phish's most beautiful ambient yet sonically driven masterpieces of their new era...and like a hit of some heady deemsters, when its all over, you are left wondering if what you just heard was real or just a hallucination of hose-epic purportions. The exclamation point on 2011 came this evening at Dick's...waaaaay before the NYE run.","THE ENTIRE FUCKING THING"
"Jah","2011/9/4","Commerce City, CO","Bathtub Gin","Mid-set",919,"Modern Rock","Type 1","Standard Rock Jam (Type 1)","Pentatonic","Pentatonic","Trey","[]","Great Type 1 Gin - the longest of the year as well.",""
"Jah","2011/9/4","Commerce City, CO","Piper","Mid 2nd Set",724,"Psychedelic Rock","Type 2","Experimental (Pushing Boundaries)","Futuristic","Futuristic","Full Band","[""Theremin"",""Sirens"",""Tractor Beams""]","Possibly the more interesting Piper intros of the 3.0 era if for simply no other reason than Page had a synth effecting going which made Trey moderately pace the intro. After a brief moment of this however, its straight into the intro...no waiting in Piper 3.0. Jam starts to get weird at 5:35 with a four note riff that the entire band ends up picking up on. This eventually leads into a swapmy-plinko-esque jam that then inturn lends itself as backdrop to Page's brilliant Theramin work at around 9:00. This outro jam has elements of the storage set from SBIX, especailly in the last 3 minutes.","9:00-end"
"Jah","2011/9/4","Commerce City, CO","Ghost","Mid 2nd Set",628,"Groove Rock/Funk Rock","Type 2","Standard Rock Jam (Type 1)","Pentatonic","Pentatonic","Full Band","[""Guy Forget Tease"",""Fishman Cymbal Crash""]","This jam isn't one you will go to if you are looking for something long, spacey, deep, psychedelic or inspiring. This the other end of hte spectrum of why we love phish - this is possibly the most ""fun"" Ghost of the 3.0 era. Really solid solo'ing by Trey into but once the whole band starts in with Guy Forget - even through the LIVE PHISH SBD the excitement is palpable. You can feel the band having fun. Trey can barely end the tune without laughing stating ""And now you all know who the Ghost really is...the ghost is Guy Forget""",""
"Jah","2011/9/14","Essex Junction, VT","Bathtub Gin","Mid-set",772,"Modern Rock","Type 1","Standard Rock Jam (Type 1)","Pentatonic","Pentatonic","Trey","[""Trey Feedback""]","",""
"Jah","2011/9/14","Essex Junction, VT","Wolfman's Brother","Mid-set",672,"Groove Rock/Funk Rock","Type 2","Plinko","Swampy ('95 specifically)","Swampy ('95 specifically)","Full Band","[""Brilliant Clavinet"",""Mike Slapping/ Popping""]","Another interesting Wolfman's - this one especially gets overlooked because of the lack of variety in the Essex setlist. However, overlooking this one is a mistake because this Wolfman's shows some of the most interesting Wolfman's playing of the new era. A hyper-plinko-funk jam gets this jam going and continues to lubricate the gears until the end. By sometime around the 7:30 mark Trey decides to abbandon the exploration and just drive this one home with some straight up riffing. Great Woflmans, definitely the top 3 of the year.","5:30-end"
"Jah","2011/9/14","Essex Junction, VT","Julius","Set Closer",661,"Classic Rock","Type 2","Trey-led Noodling Jam","Dirty/Bluesy","Dirty/Bluesy","Trey","[""Fishman Jazzy Feel"",""Dynamics (volume..)""]","This is another song that on paper wouldn't seem like anything special but this version of Julius is one of (if not the) most unique version of 3.0 - the entire jam rather than the barn-burning rock solo'ing you're used to is replaced by a snappy jazzy jam that has the band sounding like they'd be more fit to play in a 16th Century Saloon than on the Essex fairground but it works and makes a song that they quite frankly over-play, one of the highlights of the evening","3:20-end"
"Jah","2011/9/14","Essex Junction, VT","Carini","Set 2 Opener",738,"Psychedelic Rock","Type 2","Nightmare Music","Pentatonic","Pentatonic","Full Band","[""Tractor Beams"",""Sirens"",""Unspecified Synthesizer""]","This Carini which was dedicated to THE Pete Carini - who allegedly was somewhere in the audience - is another contender for one of the best jams of the year. The band turns it on and does not stop until it was moved through every dark facet of this phish staple. the band was playing possed to impress Pete, wherever he may be. As dark as this band starts off - by 8:15 we're in pure bliss mood which starts to show us the depth of what this jam has to offer. By 10:25 we are in a now digital version of what we were seeing in 8:15 - as if Phish put on some sort of digi-filter. The end reminds me of the blissful apex in the Tweezer from only two shows ago.","8:15 - end"
"Jah","2011/12/28","New York City, NY","Cities","Mid-set",638,"Classic Rock","Type 2","Plinko","Digital","Digital","Full Band","[""Brilliant Clavinet"",""Mike's Bass Bomb"",""Unspecified Synthesizer""]","this plinko jam extends the cities much further than people intiiall realize and proves to be one of the most interesting jams of the whole evening, even if it was only a few minutes",""
"Jah","2011/12/30","New York City, NY","Piper","Mid 2nd Set",916,"Psychedelic Rock","Type 2","Millenial (Sirens, Delays, Tractor Beams)","Dark, Sinister, Evil","Dark, Sinister, Evil","Full Band","[""Whale-Call"",""Tractor Beams"",""Unspecified Synthesizer""]","6:20 Trey begins his chord-tempo setting amidst whale-calls from Page. Immidiately the band is locked in and playing better than they had all weekend. At the 9:50 moment we went from intesnte Stash-type dark jam to a blissful-underwater omnimax movie. The jam beings to take on a more millenial turn around the 13th minute with Tractor beams galore. This Piper was a glimmer in the eyes of those who expected greatness from this run, specifically this evening. It was there...it was just a matter of the band being able to channel and harness it.","the whole thing"
"Jah","2011/12/31","New York City, NY","Light","Mid 2nd Set",725,"Psychedelic Rock","Type 2","Bliss Jam","Dark, Sinister, Evil","Dark, Sinister, Evil","Full Band","[""Whale-Call"",""Loops"",""Theremin""]","The darkness of this jam takes a while to develop and doesn't really creap in until around 6:45 with Mike's dark bassline. This spurs the band into a dark ambient bliss jam that goes through several movement throughout its development. at around 8:12 we see the nightmarish tone/quality peaking in a sense then by 9:20 we see a new construction arising from the mist and propelled by Fishman's marching beat. These leads us into a misty theramin jam that is eventually abandonned in favor of Golden Age which would turn out to be one of Phish's most controversial moves of the year.","6:45 - end"
"Phil","2012/6/7","Worcester, MA","Carini","Set 2 Opener",742,"Metal","Type 2","Storage","Major/ Happy","Major/ Happy","Full Band","[""Loops"",""Unspecified Synthesizer"",""Mike's Synth pedal""]","Very dark start with some excellent minor licks from Mike that descend into major-key ambient space reminiscent of My Left Toe. The fire for the year was lit here. Segues perfectly into Taste.",""
"Phil","2012/6/7","Worcester, MA","Ghost","Mid 2nd Set",875,"Groove Rock/Funk Rock","Type 2","Cow Funk","Dark","Dark","Full Band","[]","Full-band textures that bounce off of one another until dissonance appears at around 6:40, then seeping funk-rock groove carried by Trey with more dissonant undertones from Mike. Tonal shift to major in the last 3 min with Timber-esque segue into Boogie On.",""
"Phil","2012/6/7","Worcester, MA","Boogie On Reggae Woman","Mid 2nd Set",700,"Groove Rock/Funk Rock","Type 1","Cow Funk","Major/ Happy","Major/ Happy","Mike","[]","Type I cow funk fest. Mike takes the reigns and drives this version. Trey and Page compliment amazingly as he shows the crowd how to play bass properly. Trey has some realy great rolling leads in this jam, SHREDS 9:24 to 10:03",""
"Phil","2012/6/8","Worcester, MA","Roses Are Free","Mid 1st Set",609,"Psychedelic Rock","Type 2","Ambient","Major/ Happy","Major/ Happy","Fish","[]","Rare excursion into a great cover. Fish drives this with the cow bell. Mike and Trey sound like they're right out of 99. ""Ooos"" at 4:01 as the band gets into the shadows a bit thanks to Mike's minor scale delays.",""
"Phil","2012/6/8","Worcester, MA","Sand","Mid 2nd Set",501,"Groove Rock/Funk Rock","Type 2","Hyper Funk","Major/ Happy","Major/ Happy","Mike","[]","Drastic tonal shift from the typically dark minor jams to James Brown upbeat major funk at 5:22. Happy, smiling dance 1975 dance party. John Travolta dreamed of strutting to this. Seamless segue into Nellie Kane.",""
"Phil","2012/6/10","Manchester, TN","Tweezer","Mid 1st Set",741,"Psychedelic Rock","Type 2","","","","","[]","",""
"Phil","2012/6/10","Manchester, TN","Carini","Mid 2nd Set",504,"Metal","Type 2","Ambient","Dark, Sinister, Evil","Dark, Sinister, Evil","","[]","",""
"Phil","2012/6/15","Atlantic City, NJ","Tube","Mid 1st Set",393,"Groove Rock/Funk Rock","Type 1","","Dirty/Bluesy","Dirty/Bluesy","Full Band","[""Full Band Stop Start""]","",""
"Phil","2012/6/15","Atlantic City, NJ","Birds of a Feather","Mid 2nd Set",880,"Groove Rock/Funk Rock","Type 2","","","","","[]","",""
"Phil","2012/6/16","Atlantic City, NJ","Light","Mid 2nd Set",849,"Modern Rock","Type 2","","Major Chords (Ionian)","Major Chords (Ionian)","","[""Brilliant Clavinet"",""Manteca Tease""]","","Crosseyed Tease"
"Phil","2012/6/16","Atlantic City, NJ","Sand","Mid 2nd Set",611,"Groove Rock/Funk Rock","Type 1","","Dirty/Bluesy","Dirty/Bluesy","","[""Brilliant Clavinet"",""Trey \""Death from Above\"" Wailing""]","","Crosseyed Tease"
"Phil","2012/6/17","Atlantic City, NJ",2001,"Mid 2nd Set",498,"Funk","Type 1","Cow Funk","Pentatonic","Pentatonic","","[""Mike's envelope filter"",""Brilliant Clavinet"",""Full Band Stop Start""]","",""
"Phil","2012/6/17","Atlantic City, NJ","Reba","Mid 2nd Set",765,"Psychedelic Rock","Type 1","Standard Rock Jam (Type 1)","Major Chords (Ionian)","Major Chords (Ionian)","","[]","",""
"UNKNOWN","2012/6/22","Cincinnatti, OH","Kill Devil Falls","Mid 2nd Set",681,"Modern Rock","Type 1","Standard Rock Jam (Type 1)","","","","[]","",""
"UNKNOWN","2012/6/22","Cincinnatti, OH","Twist","Mid 2nd Set",853,"Psychedelic Rock","Type 2","Storage","Dark, Sinister, Evil","Dark, Sinister, Evil","","[""Loops"",""Dynamics (volume..)""]","",""
"Phil","2012/8/15","Long Beach, CA","Rock and Roll","Set 2 Opener",1527,"Psychedelic Rock","Type 2","Cubist","Major Chords (Ionian)","Major Chords (Ionian)","Full Band","[""Whale-Call"",""Mike's Synth pedal"",""Loops""]","This is THE jam that marks the return to long-form improvisation. An extended psychedelic take on a favorite that incorporates nearly every jam element available, this Rock & Roll dives deep below the ocean and explores new territory for the band. Includes multiple styles such as ambient, millenial, cow funk, nightmare music, and baroque to explore all facets of Phish. If you listen to any song from 2012, make it this take.",""
"Phil","2012/8/15","Long Beach, CA","Ghost","Mid 2nd Set",804,"Groove Rock/Funk Rock","Type 2","Bliss Jam","Major Chords (Ionian)","Major Chords (Ionian)","Trey","[""Trey Rhythmic Chording"",""Whale-Call"",""Trey \""Death from Above\"" Wailing""]","Coming out of the monster Rock and Roll set opener, this Ghost was a blissful reaction to the band's clear enjoyment of the extended improv that occurred before. Trey rhythmically chords along before launching into a celebratory solo that rolls over Mike and Page's excellent major key progression under it. It ends with an odd Roggae tease from Fish (drum and vocal tease) before seguing into LxL","Roggae"
"Phil","2012/8/18","San Francisco, CA","Split Open and Melt","Mid 1st Set",700,"Psychedelic Rock","Type 2","Ambient","Dorian (minor mixolydian)","Dorian (minor mixolydian)","Full Band","[]","The band was clearly trying to do something with Melt; however they got lost in the darkness and ambient music that pushed its way into the song. Many times Fish tried to bring the band back to the standard Melt groove, but failed, and the ending turns out to be a crash landing of sorts. A valiant attempt which shows much promise for future versions of this classic.",""
"Phil","2012/8/18","San Francisco, CA","Simple","Mid 2nd Set",763,"Classic Rock","Type 2","Ambient","Bliss","Bliss","","[]","After the failed attempt to take Melt into ambient territory in the first set, the band followed a few standard renditions of songs with a gorgeous Simple that stands out as the best of the year. Ambient, flowing, and brilliantly blissful. Though this show is somewhat overlooked, this song should not be skipped.",""
"Zac","2012/8/31","Commerce City, CO","First Tube","Opener",581,"Post Rock","Type 1","Standard Rock Jam (Type 1)","Major Chords (Ionian)","Major Chords (Ionian)","Trey","[""Trey \""Death from Above\"" Wailing"",""Loops""]","This First Tube was a total statement of Phish's intentions on this very special weekend in Colorado. A very high energy and tight version of First Tube, notable for the upbeat and glorious solo that Trey lays atop the pillow of noise and sound and groove that the band spent 7 minutes building up. Don't miss this solo, its one man's articulating his intention to go for glory on a weekend when they undeoubtedly did.",""
"Zac","2012/8/31","Commerce City, CO","Carini","Mid 1st Set",831,"Post Rock","Type 2","Cubist","Bliss","Bliss","Trey","[""Trey Feedback"",""Trey/ Mike Lick Trading"",""Trey Rhythmic Chording""]","A nasty Carini, the first ""C"" in ""Fuck your Face"" turns quickly blissful and toward major chord territory. Trey and Mike trade licks starting in the 8th minute, with some gorgeous interplay, Mike slowly starts to take over, Trey switches on a pedal around the 9th minute and begins to articulate the melodic idea of the jam which he continues to explore in various guises, most especially with some lovely delayed effects around the 9:30 mark. Truly stunning and beautiful stuff. But the jam isn't over as the bliss jam gives way to some murderous Wails from Trey, who starts stabbing out at the invisible ghosts in the room. Some Hendrix like screechs and shudders. Trey eventually starts sustaining some of these wails. It's a good thing. Watch out for this Carini.",""
"Zac","2012/8/31","Commerce City, CO","Undermind","Set 1 Closer",931,"Groove Rock/Funk Rock","Type 2","Cubist","Major Chords (Ionian)","Major Chords (Ionian)","Full Band","[""Undulating Bass Lines"",""Trey uncompressed fuzz tone"",""Trey \""Death from Above\"" Wailing""]","The Undermind that we were all waiting for in 2012. Close runner up to UIC Undermind from 2011 but a totally different jam, and the perfect closer to the Fuck Your Face's first set. Mostly blissful, light, the first part of the jam section features Mike's undulating tonally perfect bass lines driving us down this sweet sweet river of sound, allowing Trey the room and musical freedom to explore, prod, poke, tease at a a number of equally gorgeous melodies. Around the 9th minute, Trey leeches onto a particular melody and from then on they're locked in for the remaining 6 minutes. Page adds some lovely vamping in the 10th minute pushing Trey into more atonal waters, but not for too long as the celebratory theme continues. In the 11th minute, Trey finds the PERFECT riff to end this immaculate set. Takes it all the way home. Mostly a three note riff that he explores in different keys and modes as the band coheres and gains steam behind him. Trey starts to really wail in the 12th minute, sustaining some notes for effect and really making the heads weep with joy. In the 13th minute, these sustains become the stuff of earth as the band locks in for a big time ending full of drama. A special special jam",""
"Zac","2012/8/31","Commerce City, CO","Chalk Dust Torture","Mid 2nd Set",1109,"Classic Rock","Type 2","Cubist","Bliss","Bliss","Trey","[""Undulating Bass Lines"",""Loops"",""Fishman Jazzy Feel""]","Simply Put, one of the most beautiful Chalkdust's you are likely to hear. A long and tasteful jam full of heady nuggets this jam was featured as THE feature of the ""Fuck Your Face"" show and for good reason. Listen to how Trey's rhythmic chording enables Mike to step in with some gorgeous bass undulations in the 7th and 8th minutes. Fishman's light as air touch enables the band to cohere and develop truly succinct musical ideas. Around the 11th minute, Trey latches onto one of the most beautiful phrases, a 10/ 11 note melody of such power and emotion that it carries the band all the way through the rest of the jam. Cubism at work. At the 14th minute, Trey reconnects with the rhythmic feel of the earlier jam section and makes contact with a big time pathway up the mountain, which he first runs by the other guys and who give him the permission to take the truck into high gear. At 15:50 Page lays down some nice atmospherics for Big Red to go for gold. At 16:05 he does, finds the gold nugget lying in wait in the melody thats carried them for the better part of twenty minutes, and begins sending little patterns of ore into the atmoshere with his tremolo, which he then accelerates, delivering lasers of sound into the Colorado evening. And a perfect landing to an incredible jam. Fuck Your Face? No, this chalkdust is more like sweet sweet love.",""
"Zac","2012/9/1","Commerce City, CO","Prince Caspian","Mid 2nd Set",674,"Classic Rock","Type 2","Cubist","Major Chords (Ionian)","Major Chords (Ionian)","","[""Whale-Call""]","",""
"Zac","2012/12/28","New York, NY","Wolfman's Brother","Set 1 Closer",871,"Groove Rock/Funk Rock","Type 2","Cow Funk","Major Chords (Ionian)","Major Chords (Ionian)","Trey","[""Brilliant Clavinet"",""Trey \""Death from Above\"" Wailing"",""Mike's envelope filter""]","What a way to start off the New Year's Run. Concluding a strong opening frame on night 1 in New York, this Wolfman's with an incredibly tight cow funk jam which eventually bleeds into a GORGEOUS LIttle Drummer Boy section. Only to see the boys come all the way back to Wolfmans and build an OUTRAGEOUS Blues inflected rock peak to End the set with Trey just WAILING ontop of everyone","Little Drummer Boy"
"Zac","2012/12/28","New York, NY","Tweezer","Set 2 Opener",1253,"Groove Rock/Funk Rock","Type 2","Cubist","Bliss","Bliss","Trey","[""Trey Rhythmic Chording""]","This is how you open a set folks, a tour de force Tweezer, immediately one of the best of the 3.0 era. From a tight as heck head section into a strong pentatonic jam which then modulates into a bliss filled jam led by Mike's rolling, undulating bass lines which Trey wails ontop of. A beautiful five minutes of this full band action leads to one of the run's most glorious peaks, a full band tight as shit retro rock peak, Guy Forget tease included, and then around the 16th minute Trey makes a grand old entrance and takes things home. The band is fully locked in for the next three minutes. They build a machine of glory and then put it on overdrive! This is a bowtie put on top of Tweezer, one of their old jam stalwarts","Guy Forget"
"Zac","2012/12/29","New York, NY","Golden Age","Set 2 Opener",892,"Groove Rock/Funk Rock","Type 2","","","","","[""Trey Wah (funk sound)"",""Mike's envelope filter""]","Let the haters HATE, but this Golden Age continues the bliss-tinged 2012 jams. with a wonderuflly strong, tight and very beautiful major chord jam out of the song that lasts several minutes before the band segues into a start-stop rhthymic exercise in the 9th minute with Trey and Mike trading licks and Fishman getting extra jazzy. Meanwhile Page starts building some atmospherics with his Rhodes. Mike drops in some thick envelopes as Trey comps him on the rhythmic motif the band had developed. Around the 11th minute the dynamics pick up as the band locks into this thick polyrhythmic jam and Trey starts to pitch shift around playing around with the same motif he isolated. At 12 minutes Trey discovers a new riff which he explores for a few minutes, eventually morphing it into a nice descending line and then right back up",""
"Phil","2012/12/30","New York, NY","Carini","Mid 2nd Set",883,"Metal","Type 2","Storage","Dark, Sinister, Evil","Dark, Sinister, Evil","Mike","[""FIshman STOMP"",""Mike's Synth pedal"",""Fishman Cymbal Crash""]","Tribal, dark, evil. The Demon Carini released from the bowels of Hell. Pitch drops hinting at Iron Man on 12/31. Potentially one of the darkest jams of 3.0. Pairs extremely well with 6/24 Twist.",""
"Phil","2012/12/30","New York, NY","Slave to the Traffic Light","Set 2 Closer",729,"Classic Rock","Type 1","Standard Rock Jam (Type 1)","Bliss","Bliss","Full Band","[""Dynamics (volume..)"",""Trey Feedback""]","One of the top Slaves of 3.0. Extremely emotive and delicate playing by Trey, complimented exquisitely by Page while a sustained note rings through the chord changes. A perfect set closer for sure.","Little Drummer Boy"
"Andy","1987/2/13","Johnson, VT","Sneakin' Sally Through the Alley","Opener",358,"Funk","Type 1","Vocal","Happy (Major Chords)","Happy (Major Chords)","","[]","",""
"Andy","1987/2/13","Johnson, VT","Slave to the Traffic Light","Mid-set",139,"Ambient","Type 1","Contemplation/Reflection","Happy (Major Chords)","Happy (Major Chords)","Full Band","[]","Page leads Slave jam, Mike leads jam into Quinn super short Slave",""
"Andy","1987/2/13","Johnson, VT","Quinn the Eskimo","Mid-set",367,"Funk","Type 1","Meat and Potatoes","Happy (Major Chords)","Happy (Major Chords)","","[]","",""
"Andy","1987/2/13","Johnson, VT","Alumni Blues","Mid-set",348,"Groove Rock/Funk Rock","Type 1","Meat and Potatoes","Dirty","Dirty","Trey","[]","",""
"Andy","1987/2/13","Johnson, VT","Alumni Blues","Mid-set",348,"Groove Rock/Funk Rock","Type 1","Meat and Potatoes","Happy (Major Chords)","Happy (Major Chords)","Page","[]","",""
"Andy","1987/2/13","Johnson, VT","Suzy Greenberg","Mid-set",558,"Groove Rock/Funk Rock","Type 1","Meat and Potatoes","Dirty","Dirty","Trey","[]","Dude on vox goin nutz, long Suzy  extra vocals, different version",""
